state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,264,wokha,Total,8,3588,1825,1763,511,259,252,3077,1566,1511
13,264,wokha,Total,9,3368,1732,1636,432,228,204,2936,1504,1432
13,264,wokha,Total,10,4361,2232,2129,428,206,222,3933,2026,1907
13,264,wokha,Total,11,3851,1973,1878,254,125,129,3597,1848,1749
13,264,wokha,Total,12,4329,2187,2142,199,87,112,4130,2100,2030
13,264,wokha,Total,13,4057,2058,1999,172,85,87,3885,1973,1912
13,264,wokha,Total,14,4439,2207,2232,162,68,94,4277,2139,2138
13,264,wokha,Total,15,4292,2275,2017,167,81,86,4125,2194,1931
13,264,wokha,Total,16,4850,2479,2371,231,110,121,4619,2369,2250
13,264,wokha,Total,17,3934,2000,1934,175,65,110,3759,1935,1824
13,264,wokha,Total,18,4789,2461,2328,252,111,141,4537,2350,2187
13,264,wokha,Total,19,3619,1854,1765,180,76,104,3439,1778,1661
13,264,wokha,Total,20-24,18977,9411,9566,1163,484,679,17814,8927,8887
13,264,wokha,Total,25-29,15017,7211,7806,1098,430,668,13919,6781,7138
13,264,wokha,Total,30-34,12545,6239,6306,1200,466,734,11345,5773,5572
13,264,wokha,Total,35-39,10620,5254,5366,1244,401,843,9376,4853,4523
13,264,wokha,Total,40-44,9350,4683,4667,1340,481,859,8010,4202,3808
13,264,wokha,Total,45-49,7995,4201,3794,1427,490,937,6568,3711,2857
13,264,wokha,Total,50-54,6079,3215,2864,1376,425,951,4703,2790,1913
13,264,wokha,Total,55-59,4048,2184,1864,1089,294,795,2959,1890,1069
13,264,wokha,Total,60-64,3323,1834,1489,1137,339,798,2186,1495,691
13,264,wokha,Total,65-69,2099,1147,952,864,276,588,1235,871,364
13,264,wokha,Total,70-74,1405,735,670,750,235,515,655,500,155
13,264,wokha,Total,75-79,797,450,347,455,185,270,342,265,77
13,264,wokha,Total,80+,1060,604,456,634,275,359,426,329,97
13,264,wokha,Total,Age not stated,71,53,18,6,5,1,65,48,17
13,264,wokha,Rural,All ages,131339,66435,64904,33118,14768,18350,98221,51667,46554
13,264,wokha,Rural,0-6,16438,8443,7995,16438,8443,7995,0,0,0
13,264,wokha,Rural,7,2677,1356,1321,937,481,456,1740,875,865
13,264,wokha,Rural,8,2959,1501,1458,475,243,232,2484,1258,1226
13,264,wokha,Rural,9,2709,1391,1318,379,201,178,2330,1190,1140
13,264,wokha,Rural,10,3551,1834,1717,386,187,199,3165,1647,1518
13,264,wokha,Rural,11,3095,1593,1502,233,115,118,2862,1478,1384
13,264,wokha,Rural,12,3510,1781,1729,178,76,102,3332,1705,1627
13,264,wokha,Rural,13,3233,1650,1583,157,77,80,3076,1573,1503
13,264,wokha,Rural,14,3482,1750,1732,147,63,84,3335,1687,1648
13,264,wokha,Rural,15,3316,1768,1548,132,66,66,3184,1702,1482
13,264,wokha,Rural,16,3754,1906,1848,196,95,101,3558,1811,1747
13,264,wokha,Rural,17,2988,1538,1450,143,55,88,2845,1483,1362
13,264,wokha,Rural,18,3738,1954,1784,223,104,119,3515,1850,1665
13,264,wokha,Rural,19,2717,1372,1345,151,60,91,2566,1312,1254
13,264,wokha,Rural,20-24,14349,7150,7199,1053,438,615,13296,6712,6584
13,264,wokha,Rural,25-29,11197,5297,5900,1016,391,625,10181,4906,5275
